Review_ID,Restaurant_ID,Reviewer_ID,Rating
284,1,1933,4.4
383,2,1970,4.3
229,3,1981,3.9
239,4,1963,4.5
358,5,1949,4.6
294,6,1982,4.2
273,7,1906,3.7
220,8,1905,4.5
275,17,1988,3.5
314,18,1992,3.5
312,19,1923,2.5
237,20,1937,2
350,29,1903,4
397,30,1967,3.5
238,31,1994,4.5
336,32,1905,3.5
241,33,1978,4.5
400,34,1924,4.5
265,35,1917,4
456,36,1958,4.5
249,37,1922,3.5
294,38,1912,3.5
267,39,1984,3.5
224,40,1945,4.5
288,16,1964,4.2
351,26,1982,3.8
283,27,1906,4.4
212,28,1905,3.9
250,29,1988,4.1
236,30,1992,4.1
235,31,1923,4.5
455,32,1937,4.2
478,33,1903,3.5
569,21,1978,2
504,22,1924,4
534,23,1917,3.5
584,24,1958,4.5
594,25,1922,3.5
597,9,1912,4.5
589,10,1984,4.5
582,11,1945,4
521,12,1964,4.5
598,13,1982,3.5
593,14,1906,3.5
517,15,1905,3.5
514,1,1988,4.5
591,2,1992,4.2
546,3,1923,3.8
523,4,1937,4.4
569,5,1903,3.9
544,6,1967,4.1
533,7,1994,4.1
531,8,1905,4.5
511,17,1978,4.2
529,28,1924,3.5
586,29,1917,2
575,30,1958,4
517,31,1922,3.5
571,32,1912,4.5
550,33,1984,3.5
528,21,1945,4.5
576,22,1964,4.5
600,23,1937,4
600,24,1903,4.5
